 a few seconds| câteva sec.
Entertainment|Divertisment
Error|Eroare
Evening|Seară
Every 2 hours|La fiecare 2 ore
Every 24 hours|La fiecare 24 de ore
Every 30 Minutes|La fiecare 30 de minute
Every 30 minutes|La fiecare 30 de minute
Every 4 hours|La fiecare 4 ore
Every hour|La fiecare oră
Exit|Ieşire
Experimental|Experimental
Fahrenheit (#short)|Fahrenheit
Favorite Contacts|Contacte favorite
Favorite contacts|Contacte favorite
Favorites|Favorite
February|Februarie
Filter|Filtru
First day of the week|Prima zi a săptămânii
First Quarter|Primul pătrar
Flight|Zbor
Folder|Folder
Folder Name|Nume folder
Forecast|Prognoză
from forecast|din prognoză
Full Moon|Lună plină
Gallery|Galerie
Games|Jocuri
Gemini|Gemeni
Grayscale anaglyph (red/cyan)|Anaglyph gri (rosu/bleu)
Green|Verde
G-Sensor|G-Sensor
Half an hour ago|Cu jumătate de oră în urmă
Hectopascals|Hectopascali
Hide Duplicates|Ascunde duplicate
Hide SIM Contacts|Ascunde contacte SIM
Home|Acasă
Home Settings|Setări Acasă
Home settings|Setări Acasă
hpa|hPa
Humidity:|Umiditate:
in %u days|în %u zile
inch|inch
Inches|Inci
Increase Counter|Măreşte contor
Interface mode|Mod interfață
Invisible|Invizibil
January|Ianuarie
July|Iulie
June|Iunie
Kilometers per hour|Kilometri pe oră
Knots|Noduri
knots|Noduri
kph|km/h
kts|kts
Landscape|Peisaj
Large|Mare
Last Call|Ultimul apel
Last Message|Ultimul mesaj
Last Quarter|Ultimul pătrar
Last updated|Ultima actualizare
Legal information|Informaţii legale
Legal notices|Note legale
Leo|Leu
Libra|Balanță
Lifestyle|Lifestyle
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Wallpaper-urile live pot cauza degradarea performanţei ecranului Acasă 3D. Comutarea între wallpaper-urile live şi statice poate dura până la un minut. Wallpaper-urile statice sunt recomandate pentru cea mai bună experienţă.
Loading failed|Încărcare eşuată
Loading image for wallpaper|Încărcare imagine pentru tapet
Loading skin failed!|Încărcare faţetă eşuată!
Loading skins catalog failed!|Încărcare catalog faţete eşuată!
Loading...|Încărcare ...
Logging In...|Conectare
Lunar Calendar|Calendar lunar
Manage apps|Administrare aplic
Manage Apps|Administrare Aplic
Manage panels|Administrare panouri
Manage Panels|Administrare Panouri
March|Martie
May|Mai
Medium|Mediu
Messaging|Mesaje
Meters per second|Metri pe secundă
Miles per hour|Mile pe oră
Millimetres|Milimetri
Misc|Diverse
Miscellaneous|Diverse
mm|mm
Mobile|Mobil
Mode|Mod
Monday|Luni
Moon|Luna
Moon Calendar|Fazele lunii
Moon in %s,|Luna în %s,
Morning|Dimineaţă
mph|mph
mps|mps
Multimedia|Multimedia
Music|Muzică
Music albums|Albume muzicale
N|N
N/A|N/A
nd|lea
NE|NE
Network Status|Stare rețea
Never|Niciodată
New|Nou
New Channel|Canal nou
New channel|Canal nou
New Contact|Contact nou
New Folder|Folder nou
New Moon|Lună nouă
New update available|Actualizare nouă disponibilă
News|Ştiri
next|următorul
Next Alarm|Următoarea alarmă
Night|Noapte
No|Nu
no|nici
No Alarms|Nicio alarmă
No birthdays|Nicio zi de naştere
No calls|Niciun apel
No Cities|Niciun oraş
No conditions|Fără condiţii
No Contacts.|Niciun contact.
No Countries|Nicio ţară
No deals loaded|Nici o ofertă încărcată
No Images|Nicio imagine
No messages|Niciun mesaj
No news|Nicio ştire
No SIM|SIM lipsă
No text messages|Niciun mesaj text
No title|Niciun titlu
No upcoming events|Fără evenimente viitoare
No upcoming events in a week|Fără evenimente viitoare într-o săptămână
No updates|Nicio actualizare
No weather forecast|Nicio prognoză meteo
Normal|Normal
north|nord
north east|nord-est
north west|nord-vest
Not available|Indisponibil
Not connected|Neconectat
Notes|Note
November|Noiembrie
NW|NV
October|Octombrie
Off|Oprit
Offer|Ofertă
On|Pe
One Touch Share|One Touch Share
Only on free connections|Doar conexiuni gratuite
Open Contact|Deschide contactul
Open in Browser|Deschide în Browser
