 a few seconds| några sekunder
Edit channel|Ändra kanal
Edit Contact|Ändra kontakt
Edit note|Ändra anteckning
Edit panels|Ändra paneler
Emergency only|Endast i nödsituation
Empty Panel|Tom panel
Enable live wallpapers|Aktivera levande bakgrunder
Enabled|Aktiverad
Enter RSS feed title|Ange titel för RSS-flöde
Enter RSS feed URL|Ange URL för RSS-flöde
Entertainment|Underhållning
Error|Fel
Evening|Kväll
Every 2 hours|Varannan timme
Every 24 hours|Var 24:e timme
Every 30 Minutes|Var 30:e minut
Every 30 minutes|Var 30:e minut
Every 4 hours|Var 4:e timme
Every hour|Varje timme
Exit|Avsluta
Experimental|Experimentell
Experimental Settings|Experimentella inställningar
Experimental settings|Experimentella inställningar
Fahrenheit (#short)|Fahrenheit (°F)
Failed to add contact|Kunde inte lägga till kontakt
Failed to load RSS|Kunde inte hämta RSS
Failed to load the selected contact. Try to link the contact to Google account or save it to phone.|Gick inte att läsa den valda kontakten. Försök att länka kontakten till Google-konto eller spara det på telefon.
Favorite Contacts|Favoritkontakter
Favorite contacts|Favoritkontakter
Favorites|Favoriter
February|Februari
Filter|Filter
First day of the week|Veckans första dag
First Quarter|Första kvartalet
Flight|Flygning
Folder|Mapp
Folder Name|Mappnamn
Forecast|Prognos
from forecast|från prognos
Full Moon|Fullmåne
Gallery|Galleri
Games|Spel
Gemini|Tvillingarna
Gravity|Gravitation
Grayscale anaglyph (red/cyan)|Gråskaleanaglyf (röd/cyan)
Green|Grön
G-Sensor|G-sensor
Half an hour ago|För en halv timme sedan
Hectopascals|Hektopascal
Hide Duplicates|Göm dubbletter
Hide SIM Contacts|Dölj SIM-kontakter
Home|Hem
Home Settings|Inställningar för Hem
Home settings|Inställningar för Hem
hpa|hPa
Humidity:|Fuktighet:
in %u days|om %u dagar
in Home Settings|under Hem-inställningar
inch|tum
Inches|Tum
Increase Counter|Öka räknare
Interface mode|Interfaceläge
Invisible|Osynlig
January|Januari
July|Juli
June|Juni
Kilometers per hour|Kilometer per timme
Knots|Knop
knots|knop
kph|km/t
kts|kn
Landscape|Liggande
Landscape orientation required to enable left-to-right stereo mode|För att aktivera vänster-till-höger stereo-läge krävs liggande läge
Large|Stor
Last Call|Senaste samtal
Last Message|Senaste meddelande
Last Quarter|Senaste kvartalet
Last updated|Senast uppdaterad
Left-to-right (HTC EVO 3D)|Vänster-till-höger (HTC EVO 3D)
Legal information|Rättslig information
Legal notices|Rättslig information
Leo|Lejonet
Libra|Vågen
Lifestyle|Livsstil
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Levande bakgrunder kan orsaka prestandaförsämringar för 3D-hemskärmen. Att växla mellan levande och statiska bakgrunder kan ta upp till en minut. Statiska bakgrunder rekommenderas för bästa upplevelse.
Loading failed|Laddning misslyckades
Loading image for wallpaper|Laddar bakgrundsbild
Loading RSS feed %s...|Laddar RSS-flöde %s...
Loading skin failed!|Laddning av skal misslyckades!
Loading skins catalog failed!|Laddning av skalkatalog misslyckades!
Loading...|Laddar...
Logging In...|Loggar in...
Lunar Calendar|Månkalender
