SPB Shell 3D is loading...|SPB Shell 3D lastes...
SPB Wallpapers|SPB bakgrunner
SPB Widget|SPB Widget
st|.
Standard Edition [Beta]|Standard Edition [Beta]
Stereoscopic 3D mode|Stereoskopisk 3D modus
Stereoscopic 3D Settings|Innstillinger for stereoskopisk 3D modus
Sunday|Søndag
SW|SV
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|Skifte av interface modus kan ta opp til ett minutt. Skjermorientering vil bli endret til '%s'.
System|System
Tablet|Tablet
Temperatur scale|Temperaturskala
Temperature scale|Temperaturskala
Test Battery|Test batteri
th|.
Thank you for your support. Your copy is now registered.|Takk for din støtte. Din kopi er registrert.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|De eksperimentelle funksjonene nedenfor er ikke klare for å bli inkludert i kjernen av SPB Shell 3D. De kan inneholde alvorlige feil som kan gjøre systemet ustabilt. Bruk dem på egen risiko.
The maximum number of panels is reached|Det maksimale antall paneler er nådd
The name cannot be changed.|Navnet kan ikke endres.
The previous launch of SPB Shell 3D was unsuccessful. Please tap "Retry" to launch it again or "Home" to activate a different Home screen.|Forrige lasting av SPB Shell 3D mislyktes. Trykk "Prøv igjen" for å laste det på nytt eller "Hjem" for å aktivere et annet panel.
Time|Tid
Time Panel|Tid panel
Time Panel Settings|Innstillinger for tid panel
Today|I dag
Toggle|Bytt
Tomorrow|I morgen
Tools|Verktøy
Travel|Reise
Unfortunately, we could not locate your purchase in Android Market. Please uninstall this copy before installing a new one.|Dessverre kunne vi ikke finne ditt kjøp i Android marked. Avinstaller dette programmet før du installerer på nytt.
Unfortunately, we could not locate your purchase. Please uninstall this copy before installing a new one.|Dessverre kunne vi ikke finne ditt kjøp. Avinstaller dette programmet før du installerer på nytt.
Uninstall|Avinstaller
Uninstall apps|Fjern program
Unknown|Ukjent
Unknown location|Ukjent sted
Upcoming events|Kommende hendelser
Update|Oppdater
Update deals list automatically|Oppdater tilbudsliste automatisk
Update Now|Oppdater nå
Update pictures page automatically|Oppdater bildeside automatisk
Update weather forecasts automatically|Oppdater værvarsel automatisk
Updated|Oppdatert
Updated:|Oppdatert:
Updating image|Oppdaterer bilde
Updating...|oppdaterer...
Use 3D in application list|Bruk 3D-visning på programliste
Use 3D in edit mode|Bruk 3D-visning i endremodus
Use cellular connection for updating deals list|Bruk mobilnett for å oppdatere tilbudsliste
Use cellular connection for updating pictures automatically|Bruk mobilnett for å oppdatere bilder automatisk
Value|Verdi
variable|variabel
Version %s, Build %s|Versjon %s, Build %s
Vibro|Vibrer
Video Call|Videoanrop
View Duplicates|Vis duplikater
View SIM Contacts|Vis SIM-kontakter
W|V
Wallpaper|Bakgrunn
Wallpapers|Bakgrunner
Waning Crescent|Minkende halvmåne
Waning Gibbous|Minkende fullmåne
Waxing Crescent|Voksende halvmåne
Waxing Gibbous|Voksende fullmåne
Weather|Vær
Weather Forecast|Værvarsel
Weather Settings|Innstillinger for været
west|vest
Widget is too big to be added.|Widgeten er for stor
Widgets|Widgeter
Widgets Settings|Innstillinger for widgeter
Wind direction:|Vindretning:
Wind speed scale|Vindhastighetsskala
Wind speed:|Vindhastighet:
Wind:|Vind:
Work|Arbeid
World Time|Verdensur
Wrong serial number. Please check it again.|Feil serienummer. Kontroller og prøv igjen.
Yandex.Search|Yandex.Search
Yellow|Gul
Yes|Ja
Yesterday|I går
You save|Du sparer
Your video system isn't compatible with Shell 3D.|Ditt grafikk system er ikke kompatibelt med Shell 3D.
