 a few seconds| nekoliko sekundi
Notes Panel|Ploča s napomenama
Notes Panel Settings|Postavke ploče s napomenama
November|Studeni
NW|NW
October|Listopad
Off|Isključeno
Offer|Ponuda
On|Uključeno
One Touch Share|One Touch Share
Only on free connections|Samo na slobodnim priključcima
Open Contact|Otvori kontakt
Open in Browser|Otvori u pregledniku
OpenGL 2.0 is required to run SPB Shell 3D|Da biste pokrenuli SPB Shell 3D, potrebno je otvoriti GL 2.0.
Optimized anaglyph (red/cyan)|Optimizirana stereoskopska slika (crveno / cijan)
Other (assistant)|Drugo (pomoćnik)
Page|Stranica
Pages: %d, images: %d|Stranice: %d, slike: %d
Panel Name|Naziv ploče
Parsing skins catalog failed!|Rasčlanjivanje kataloga površina nije uspjelo!
Partly cloudy|Naoblaka
Partly cloudy, rain|Naoblaka, kiša
Partly cloudy, snow|Naoblaka, snijeg
Partly cloudy, thunder|Naoblaka, grmljavina
People|Ljudi
Performance Warning|Upozorenja pri izvedbi
Performance Warning dialog|Dijaloški okvir upozorenja pri izvedbi
Personal|Osobno
Phone|Telefon
Photo folder for gallery widgets|Slikovna mapa za galeriju dodataka
Picture Gallery|Galerija slika
Picture of the Day|Slika dana
Picture Panel Settings|Postavke slikovne ploče
Pictures|Slike
Pictures Of The Day|Slika dana
Pictures Panel|Slikovna ploča
Pictures Panel Settings|Postavke slikovne ploče
Pictures Settings|Postavke slika
Pisces|Ribe
Please Log In|Molimo da se prijavite
Please wait...|Pričekajte...
Portrait|Portret
Pressure:|Tlak:
Problem loading widget|Problem s učitavanjem dodatka
Productivity|Produktivnost
Program|Program
Pulkovo|Pulkovo
Purchase|Kupnja
Purple|Purpurno
Radio off|Radio isključen
rd_loc|.
Reading appointments...|Čitanje naloga...
Recycle Bin|Mapa za smeće
Red|Crveno
Reduced|Smanjeno
Reload skin list|Ponovno učitavanje popisa površina
Remove All|Ukloni sve
Rename|Preimenuj
Rename Panel|Preimenovanje ploče
Requesting images|Zahtjev za slikom
Retry|Pokušaj ponovno
Rise: %s|Podizanje: %s
RSS Feed|RSS kanal
RSS Panel|Ploča za RSS
RSS Panel Settings|Postavke RSS ploče
S|S
Safe mode|Sigurnosni način rada
Sagittarius|Strijelac
Saint-Petersburg|Saint-Petersburg
Save as New|Spremi kao novo
Save to Existing|Spremi kao postojeće
Scorpio|Škorpion
Screen orientation|Usmjerenje zaslona
SE|SE
Searching|Pretraživanje
Select Channel|Odaberite kanal
Select cities|Odaberite gradove
Select e-mail address|Odaberite adresu e-pošte
Select phone number:|Odaberite broj telefona:
Select shortcut|Odaberite prečac
Select Skin|Odabir površine
Select wallpaper from|Odaberite pozadinu od
Selected cities|Odabrani gradovi
Selected City|Odabrani grad
Selected city|Odabrani grad
Send E-mail|Pošalji e-poštu
Send E-Mail|Pošalji e-poštu
Send Message|Pošalji poruku
Send MMS|Pošalji MMS
Send SMS|Pošalji SMS
September|Rujan
Serial number:|Serijski broj:
Set as Home|Postavi kao početno
Set as Wallpaper|Postavi kao pozadinu
Set wallpaper|Postavljanje pozadine
Set: %s|Položaj: %s
Settings|Postavke
Show all|Prikaži sve
Show all day events|Prikaži cjelodnevne događaje
Show all day events in calendar widgets|Prikaži cjelodnevne događaje u dodatku kalendara
Show full news|Prikaži cjelokupne vijesti
Show images in news|Prikaži slike u vijestima
Silent|Tiho
Skin loading|Učitavanje površine
Small|Maleno
Smartphone|Pametni telefon
Smog|Smog
Social|Društvene teme
Sound Profile|Zvučni profil
south|jug
south east|jugoistok
south west|jugozapad
SPB Shell 3D is loading...|SPB Shell 3D se učitava...
SPB Wallpapers|SPB pozadine
SPB Widget|SPB dodatak
st|vi
Standard Edition [Beta]|Standardno izdanje [Beta]
Stereoscopic 3D mode|Stereoskopski 3D način rada
Stereoscopic 3D mode will be disabled|Stereoskopski 3D modus bit će onemogućen
Stereoscopic 3D Settings|Stereoskopske 3D postavke
Sun in %s,|Sunce u %-cima
Sunday|Nedjelja
SW|SW
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|Prebacivanje načina rada sučelja može trajati do jedne minute. Usmjerenje zaslona će se promijeniti na '%s'.
