Failed to load RSS|RSS読込み失敗
Failed to load the selected contact. Try to link the contact to Google account or save it to phone.|選択した連絡先のロードに失敗しました。Googleアカウントに連絡先をリンクしたり、電話に保存してみてください。
Favorite Contacts|お気に入り連絡先
Favorite contacts|お気に入り連絡先
Favorites|お気に入り
February|2月
Filter|フィルタ
First day of the week|週最初の曜日
First Quarter|第1四半期
Flight|フライト
Folder|フォルダ
Folder Name|フォルダ名
Forecast|予報
from forecast|予報から
Full Moon|満月
Gallery|ギャラリー
Games|ゲーム
Gemini|ふたご座
Gravity|重力
Grayscale anaglyph (red/cyan)|白黒立体写真（赤/シアン)
Green|緑 (みどり)
G-Sensor|Gセンサー
Half an hour ago|30分前
Hectopascals|ヘクトパスカル
Hide Duplicates|重複を隠す
Hide SIM Contacts|SIM連絡先を隠す
Home|ホーム
Home Settings|ホーム設定
Home settings|ホーム設定
hpa|hPa
Humidity:|湿度:
in %u days|%u 日内
in Home Settings|ホーム設定
inch|インチ
Inches|インチ
Increase Counter|カウンタ増加
Interface mode|インタフェースモード
Invisible|非可視
January|1月
July|7月
June|6月
Kilometers per hour|Km/時
Knots|ノット
knots|ノット
kph|K/時
kts|kts
Landscape|横置き
Landscape orientation required to enable left-to-right stereo mode|左から右へのステレオモードでは横置設定が必用です。
Large|大
Last Call|最終通信
Last Message|最終メッセージ
Last Quarter|最終四半期
Last updated|最終更新
Left-to-right (HTC EVO 3D)|左から右 (HTC EVO 3D)
Legal information|著作権情報
Legal notices|著作権
Leo|しし座
Libra|てんびん座
Lifestyle|ライフスタイル
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|ライブ壁紙は、ご利用の3Dホーム画面においてパフォーマンスの低下を引き起こします。ライブと静止壁紙を切り替えに最大1分かかります。操作性を良くするには静止壁紙を設定することをお勧めします。
Loading failed|読み込み失敗
Loading image for wallpaper|壁紙用イメージのロード中
Loading RSS feed %s...|RSS フィード読込み中 %s...
Loading skin failed!|スキン　ロード失敗
Loading skins catalog failed!|スキンカタログのロード失敗!
Loading...|ロード中...
Logging In...|ログイン中...
Lunar Calendar|月齢カレンダ
Lunar day %d|月齢 %d
Manage apps|アプリ管理
Manage Apps|アプリ管理
Manage panels|パネル管理
Manage Panels|パネル管理
March|3月
May|5月
Medium|中級
Messaging|メッセージ
Meters per second|m/秒
Miles per hour|mi/時
Millimetres|ミリメートル
Misc|その他
Miscellaneous|その他
mm|mm
Mobile|モバイル
Mode|モード
Monday|月曜日
Moon|月
Moon Calendar|月齢カレンダ
Moon in %s,|月 %s,
Morning|朝
mph|mph
mps|mps
Multimedia|マルチメディア
Music|音楽
Music albums|ミュージックアルバム
N|N
N/A|N/A
nd|番目
NE|NE
Network Status|ネットワーク　ステータス
Never|使わない
New|新規
New Channel|新規チャンネル
New channel|新規チャンネル
New Contact|新規連絡先
New Folder|新しいフォルダ
New Moon|新月
News|ニュース
News Panel|新規パネル
News Panel Settings|新規パネル設定
next|次へ
Next Alarm|次のアラーム
Night|夜
No|いいえ
no|いいえ
No Alarms|アラームなし
No birthdays|誕生日なし
No calls|着信なし
No Cities|都市なし
No conditions|条件なし
No Contacts.|連絡先はありません。
No Countries|国なし
No deals loaded|ロードされていません。
No Images|イメージなし
No messages|メッセージなし
No news|ニュースなし
No rise/set info|日の出/日の入り情報なし
No RSS feed found at|RSSフィードが見つかりません。
No rss loaded|RSSが読み込まれていませんｎ
No SIM|SIMなし
No text messages|テキストメッセージなし
No title|タイトル無し
No upcoming events|近くにイベントはありません。
No upcoming events in a week|今週のイベントはありません。
No updates|アップデートはありません
No weather forecast|天気予報はありません
Normal|ノーマル表示
north|北
north east|北東
north west|北西
Not available|利用できません
Not connected|未接続
Notes|メモ
Note's default color|メモのデフォルト色
Note's font|メモのフォント
Notes Panel|メモパネル
Notes Panel Settings|メモパネル設定
November|11月
NW|NW
October|10月
Off|オフ
Offer|お勧め
On|オン
One Touch Share|One Touch Share
Only on free connections|無料接続時のみ
Open Contact|連絡先を開く
Open in Browser|ブラウザで開く
OpenGL 2.0 is required to run SPB Shell 3D|SPB Shell 3Dを実行するにはOpenGl 2.0が必要です。
Optimized anaglyph (red/cyan)|最適化立体写真（赤/シアン)
Other (assistant)|その他(アシスタント)
Page|ページ
Pages: %d, images: %d|ページ: %d, イメージ: %d
Panel Name|パネル名
Panels|パネル
Panels Settings|パネル設定
Parsing skins catalog failed!|スキンカタログの読み込み失敗!
Partly cloudy|晴れときどき曇り
Partly cloudy, rain|晴れときどき曇り,雨
Partly cloudy, snow|晴れときどき曇り,雪
Partly cloudy, thunder|晴れときどき曇り,雷
People|人々
Performance Warning|パフォーマンス警告
Performance Warning dialog|パフォーマンス警告ダイアログ
Personal|個人
Phone|電話
Photo folder for gallery widgets|ギャラリーウィジェット用写真フォルダ
Picture Gallery|画像ギャラリー
Picture of the Day|今日の写真
Picture Panel Settings|画像パネル設定
Pictures|写真
Pictures Of The Day|今日の写真
Pictures Panel|画像パネル
Pictures Panel Settings|画像パネル設定
Pictures Settings|写真設定
Pisces|うお座
Please Log In|ログインしてください
Please wait...|お待ちください。
Portrait|縦置き
Pressure:|気圧:
Problem loading widget|ウィジェットの読み込み問題
Productivity|効率化
Program|プログラム
Pulkovo|プルコボ
Purchase|購入
Purple|紫
Quick Setting|クイック設定
Radio off|ラジオを切る
rd_loc|第
Reading appointments...|予定を読み込んでいます...
Recycle Bin|ゴミ箱
Red|赤 (あか)
Reduced|削減
Reload skin list|スキンリストの再ロード
Remove All|全て削除
Rename|名前の変更
Rename Panel|パネル名の変更
Requesting images|イメージ　リスエスト中
Retry|再試行
Rise: %s|日の出: %s
RSS Feed|RSSフィード
RSS Panel|RSSパネル
RSS Panel Settings|RSSパネル設定
S|S
Safe mode|セーフモード
Sagittarius|いて座
